Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JA-2020-159623,JUDICIAL EN VÍA DE APREMIO,1169 0000 06 0141 18,15-11-2022,05-12-2022,"25.187,24 ",Sin lotes,BOE-B-2022-35083,"60.973,75 ","0,00 ",Sin puja mínima,"1.219,47 ","3.048,68 ",77,JUZGADO 1ª INST E INSTRUCC. 1 , plasencia
SUB-JA-2022-203241,JUDICIAL EN VÍA DE APREMIO,4195 0000 06 0762 20,15-11-2022,05-12-2022,"246.253,16 ",Sin lotes,BOE-B-2022-35088,"430.500,00 ","0,00 ",Sin puja mínima,"8.610,00 ","21.525,00 ",80,JUZGADO 1ª INSTANCIA 5 , reus
SUB-JA-2022-203768,JUDICIAL EN VÍA DE APREMIO,4749 0000 00 0792 21,15-11-2022,05-12-2022,"229.884,17 ",Sin lotes,BOE-B-2022-35025,"360.000,00 ","0,00 ",Sin puja mínima,Sin tramos,"18.000,00 ",81,JUZGADO 1ª INSTANCIA 8 , bilbao
SUB-JA-2022-203243,JUDICIAL EN VÍA DE APREMIO,0250 0000 06 0179 21,15-11-2022,05-12-2022,"25.502,26 ",Sin lotes,BOE-B-2022-35039,"66.184,15 ","0,00 ",Sin puja mínima,"1.323,68 ","3.309,21 ",82,JUZGADO 1ª INST E INSTRUCC. 1 , ejido(el)
SUB-JA-2022-199127,JUDICIAL EN VÍA DE APREMIO,0878 0000 06 0506 15,15-11-2022,05-12-2022,"262.127,20 ",Sin lotes,BOE-B-2022-35085,"286.500,00 ","0,00 ",Sin puja mínima,"5.730,00 ","14.325,00 ",84,JUZGADO 1ª INST E INSTRUCC. 3 , prat llobregat
SUB-JA-2022-203716,JUDICIAL EN VÍA DE APREMIO,3728 5090 06 0076 21,15-11-2022,05-12-2022,"142.007,09 ",Sin lotes,BOE-B-2022-35132,"321.753,53 ","0,00 ",Sin puja mínima,"3.217,55 ","16.087,67 ",85,UNIDAD SUBASTAS JUDICIALES MURCIA , murcia
SUB-JA-2022-179694,JUDICIAL EN VÍA DE APREMIO,4196 0000 05 0431 18,15-11-2022,05-12-2022,"758.665,28 ",Sin lotes,BOE-B-2022-35087,"1.406.995,55 ","0,00 ",Sin puja mínima,Sin tramos,"70.349,78 ",86,JUZGADO 1ª INSTANCIA 1 , reus
SUB-JA-2022-203700,JUDICIAL EN VÍA DE APREMIO,0155 0000 06 1392 20,15-11-2022,05-12-2022,"11.757,42 ",Sin lotes,BOE-B-2022-35076,"90.000,00 ","0,00 ",Sin puja mínima,"1.800,00 ","4.500,00 ",87,JUZGADO 1ª INSTANCIA 4 , orihuela
SUB-JA-2022-191720,JUDICIAL EN VÍA DE APREMIO,4092 0000 06 2116 11,15-11-2022,05-12-2022,"69.321,98 ",Sin lotes,BOE-B-2022-35104,"107.054,70 ","0,00 ",Sin puja mínima,"2.141,09 ","5.352,73 ",88,JUZGADO 1ª INSTANCIA 20 , sevilla
SUB-JA-2022-203696,JUDICIAL EN VÍA DE APREMIO,0162 0000 06 2484 16,15-11-2022,05-12-2022,"161.789,16 ",Sin lotes,BOE-B-2022-35044,"158.215,64 ","0,00 ",Sin puja mínima,"3.164,31 ","7.910,78 ",89,JUZGADO 1ª INSTANCIA 2 , elx
SUB-JV-2022-203217,JUDICIAL VOLUNTARIA,3961 0000 05 0510 17,15-11-2022,05-12-2022,"0,00 ",Sin lotes,BOE-B-2022-35035,"107.000,00 ","0,00 ","53.000,00 €","2.140,00 ","5.350,00 ",90,JUZGADO 1ª INST E INSTRUCC. 1 , coria del rio
SUB-JA-2022-191322,JUDICIAL EN VÍA DE APREMIO,3271 0000 06 0069 21,15-11-2022,05-12-2022,"53.243,21 ",Sin lotes,BOE-B-2022-35080,"60.273,00 ","0,00 ",Sin puja mínima,"1.205,46 ","3.013,65 ",91,JUZGADO 1ª INSTANCIA 8 , oviedo
