0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SUB-JA-2022-204180,JUDICIAL EN VÍA DE APREMIO,4355 0000 06 0781 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"23.194,53 €",Sin lotes,BOE-B-2022-35233,"205.457,84 €","0,00 €",Sin puja mínima,"4.109,15 €","10.272,89 €",JUZGADO 1ª INST E INSTRUCC. 2 - ALZIRA,
SUB-AT-2022-22R3386001061,AGENCIA TRIBUTARIA,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),Sin lotes,BOE-B-2022-35354,"96.847,68 €","123.387,75 €",Sin puja mínima,"2.000,00 €","4.842,38 €",U.R. SUBASTAS ASTURIAS - OVIEDO,,,
SUB-JA-2021-183890,JUDICIAL EN VÍA DE APREMIO,3522 0000 06 0167 19,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"38.203,33 €",Sin lotes,BOE-B-2022-35274,"73.889,87 €","0,00 €",Sin puja mínima,"1.477,80 €","3.694,49 €",JUZGADO 1ª INSTANCIA 4 - SAN BARTOLOME DE TIRAJANA,
SUB-JA-2022-203766,JUDICIAL EN VÍA DE APREMIO,0403 0000 01 3361 15,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"682.850,66 €",2,Separada para cada lote,BOE-B-2022-35245,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INST E INSTRUCC. 5 - EL VENDRELL
SUB-JA-2022-203758,JUDICIAL EN VÍA DE APREMIO,1654 0000 06 1252 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"166.428,04 €",Sin lotes,BOE-B-2022-35237,"207.000,44 €","0,00 €","103.500,22 €","4.140,00 €","10.350,02 €",JUZGADO 1ª INST E INSTRUCC. 3 - BISBAL,
SUB-JA-2022-204164,JUDICIAL EN VÍA DE APREMIO,5066 0000 06 0163 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"61.749,68 €",Sin lotes,BOE-B-2022-35260,"103.600,00 €","0,00 €",Sin puja mínima,"2.072,00 €","5.180,00 €",JUZGADO 1ª INSTANCIA 100 - MADRID,
SUB-JA-2022-197884,JUDICIAL EN VÍA DE APREMIO,3961 0000 06 0931 15,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"65.578,01 €",Sin lotes,BOE-B-2022-35242,"120.100,00 €","0,00 €",Sin puja mínima,"2.402,00 €","6.005,00 €",JUZGADO 1ª INST E INSTRUCC. 1 - CORIA DEL RIO,
SUB-JA-2022-204142,JUDICIAL EN VÍA DE APREMIO,0224 0000 06 0872 12,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"272.622,07 €",Sin lotes,BOE-B-2022-35230,"550.569,67 €","0,00 €",Sin puja mínima,"11.011,39 €","27.528,48 €",JUZGADO 1ª INSTANCIA 2 - ALMERIA,
SUB-JA-2022-204399,JUDICIAL EN VÍA DE APREMIO,2183 0000 06 1000 14,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"348.939,26 €",2,Separada para cada lote,BOE-B-2022-35258,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INSTANCIA 1 - LLEIDA
SUB-JA-2022-203179,JUDICIAL EN VÍA DE APREMIO,0223 0000 06 1910 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"73.990,19 €",Sin lotes,BOE-B-2022-35228,"141.320,00 €","0,00 €",Sin puja mínima,"2.826,40 €","7.066,00 €",JUZGADO 1ª INSTANCIA 1 - ALMERIA,
