Provincias,Periodo,Total,ciudades2_id,comunidad_autonoma
 Zamora,2018,174.549,5,Castillayleon
 Zamora,2017,177.404,5,Castillayleon
 Zamora,2016,180.406,5,Castillayleon
 Zamora,2015,183.436,5,Castillayleon
 Zamora,2014,185.432,5,Castillayleon
 Zaragoza,2021,967.452,2,Aragon
 Zaragoza,2020,972.528,2,Aragon
 Zaragoza,2019,964.693,2,Aragon
 Zaragoza,2018,954.811,2,Aragon
 Zaragoza,2017,953.486,2,Aragon
 Zaragoza,2016,950.507,2,Aragon
 Zaragoza,2015,956.006,2,Aragon
 Zaragoza,2014,960.111,2,Aragon
 Ceuta,2021,83.517,0,Unknown
 Ceuta,2020,84.202,0,Unknown
 Ceuta,2019,84.777,0,Unknown
 Ceuta,2018,85.144,0,Unknown
 Ceuta,2017,84.959,0,Unknown
 Ceuta,2016,84.519,0,Unknown
 Ceuta,2015,84.263,0,Unknown
 Ceuta,2014,84.963,0,Unknown
 Melilla,2021,86.261,0,Unknown
 Melilla,2020,87.076,0,Unknown
 Melilla,2019,86.487,0,Unknown
 Melilla,2018,86.384,0,Unknown
 Melilla,2017,86.120,0,Unknown
 Melilla,2016,86.026,0,Unknown
 Melilla,2015,85.584,0,Unknown
 Melilla,2014,84.509,0,Unknown
